variant,lgbm,xgb,cat,mean,worst,recent,2016_may_aug,2016_sep_dec,2017_jan_apr
drop_start_week,1,3,0,0.9170769418051172,0.9157266385634603,0.9157266385634603,0.9181976684583882,0.917306518393503,0.9157266385634603
drop_start_week,1,3,1,0.9182661115250746,0.9161458451971481,0.9161458451971481,0.9201798934701386,0.9184725959079373,0.9161458451971481
drop_start_week,1,3,2,0.9186500809234796,0.9161053769676162,0.9161053769676162,0.9210912997899742,0.9187535660128484,0.9161053769676162
drop_start_week,1,3,3,0.9186945382042576,0.9159280709933908,0.9159280709933908,0.9215166785618257,0.9186388650575565,0.9159280709933908
drop_start_week,1,3,4,0.91859122958056,0.9156834896166277,0.9156834896166277,0.9217143329444406,0.9183758661806117,0.9156834896166277
drop_start_week,1,4,0,0.9170186116024994,0.9156565764265536,0.9156565764265536,0.9182522332782992,0.9171470251026456,0.9156565764265536
drop_start_week,1,4,1,0.9180843547618504,0.9160634547897178,0.9160634547897178,0.9199605318709001,0.918229077624933,0.9160634547897178
drop_start_week,1,4,2,0.9185385412185019,0.9161136614442456,0.9161136614442456,0.9208573854522474,0.9186445767590129,0.9161136614442456
drop_start_week,1,4,3,0.9186912367810169,0.9160116730244598,0.9160116730244598,0.9213579763379468,0.9187040609806439,0.9160116730244598
drop_start_week,1,4,4,0.9186904814729253,0.915863582325222,0.915863582325222,0.9216230736011162,0.9185847884924375,0.915863582325222
drop_start_week,2,0,1,0.9167733904489666,0.9154245050638599,0.9154245050638599,0.9180236715501404,0.9168719947328992,0.9154245050638599
drop_start_week,2,0,2,0.9173413990090195,0.91532474300251,0.91532474300251,0.9196686609606647,0.9170307930638834,0.91532474300251
drop_start_week,2,0,3,0.9173393278463253,0.9149972411329748,0.9149972411329748,0.9202868926653605,0.916733849740641,0.9149972411329748
drop_start_week,2,0,4,0.9172211772095819,0.9146850208665822,0.9146850208665822,0.9205628223383879,0.9164156884237754,0.9146850208665822
drop_start_week,2,1,0,0.9162068532192111,0.9154228996625385,0.9154228996625385,0.916275975631275,0.9169216843638198,0.9154228996625385
drop_start_week,2,1,1,0.9177945138914572,0.9160069022563826,0.9160069022563826,0.9192042770339428,0.918172362384046,0.9160069022563826
drop_start_week,2,1,2,0.918157462837585,0.9158922978054588,0.9158922978054588,0.9203565401851033,0.918223550522193,0.9158922978054588
drop_start_week,2,1,3,0.9181324232426934,0.9156279215274988,0.9156279215274988,0.9208616569406748,0.9179076912599067,0.9156279215274988
drop_start_week,2,1,4,0.9179809070927746,0.9153182608160431,0.9153182608160431,0.9210740654470885,0.9175503950151919,0.9153182608160431
drop_start_week,2,2,0,0.9168435923790348,0.9157144768911869,0.9157144768911869,0.9173770445166679,0.9174392557292493,0.9157144768911869
drop_start_week,2,2,1,0.9180613387128433,0.9161600666296073,0.9161600666296073,0.9195320793232571,0.9184918701856655,0.9161600666296073
drop_start_week,2,2,2,0.9184344505776775,0.9161252778858815,0.9161252778858815,0.9205422492390392,0.9186358246081121,0.9161252778858815
drop_start_week,2,2,3,0.918474259038851,0.9159246027207252,0.9159246027207252,0.9210355902535614,0.9184625841422666,0.9159246027207252
drop_start_week,2,2,4,0.9183814271960727,0.9156797790192344,0.9156797790192344,0.9212861135797887,0.9181783889891948,0.9156797790192344
drop_start_week,2,3,0,0.9170362820034473,0.9157887645655337,0.9157887645655337,0.9178422445838585,0.9174778368609496,0.9157887645655337
drop_start_week,2,3,1,0.9180776451639563,0.9161789073771885,0.9161789073771885,0.9195782071585822,0.918475820956098,0.9161789073771885
drop_start_week,2,3,2,0.9184905911997011,0.9161934317155573,0.9161934317155573,0.9205152636074359,0.9187630782761103,0.9161934317155573
drop_start_week,2,3,3,0.9186122922297217,0.9160846127675084,0.9160846127675084,0.9210384626440424,0.9187138012776142,0.9160846127675084
drop_start_week,2,3,4,0.9185803618424789,0.9158995978378819,0.9158995978378819,0.9213263906418833,0.9185150970476714,0.9158995978378819
drop_start_week,2,4,0,0.9170943040344568,0.9157769512350564,0.9157769512350564,0.9180560309897652,0.9174499298785488,0.9157769512350564
drop_start_week,2,4,1,0.9180097169959535,0.9161417862579586,0.9161417862579586,0.9195441942395661,0.918343170490336,0.9161417862579586
drop_start_week,2,4,2,0.9184450587883889,0.916191447681849,0.916191447681849,0.9204189166352152,0.9187248120481024,0.916191447681849
drop_start_week,2,4,3,0.9186308322301094,0.9161379999340876,0.9161379999340876,0.9209565836164952,0.9187979131397452,0.9161379999340876
drop_start_week,2,4,4,0.9186711377300991,0.916023456064346,0.916023456064346,0.9212861241790156,0.9187038329469358,0.916023456064346
drop_start_week,3,0,1,0.916255328852702,0.9152885154557135,0.9152885154557135,0.9169637064665375,0.9165137646358549,0.9152885154557135
